City,State,2018_Population_Est,latitude,longitude
Virginia Beach,Virginia,450189,36.7800,-76.0252
Oakland,California,429082,37.7698,-122.2257
Minneapolis,Minnesota,425403,44.9633,-93.2683
Tulsa,Oklahoma,400669,36.1279,-95.9023
Arlington,Texas,398112,32.7007,-97.1247
Tampa,Florida,392890,27.9701,-82.4797
New Orleans,Louisiana,391006,30.0534,-89.9345
Wichita,Kansas,389255,37.6907,-97.3459
Cleveland,Ohio,383793,41.4785,-81.6794
Bakersfield,California,383579,35.3212,-119.0183
Aurora,Colorado,374114,39.6880,-104.6897
Anaheim,California,352005,33.8555,-117.7601
Honolulu,Hawaii,347397,21.3243,-157.8476
Santa Ana,California,332725,33.7363,-117.8830
Riverside,California,330063,33.9381,-117.3932
Corpus Christi,Texas,326554,27.7543,-97.1734
Lexington,Kentucky,323780,38.0407,-84.4583
Stockton,California,311178,37.9763,-121.3133
Henderson,Nevada,310390,36.0097,-115.0357
Saint Paul,Minnesota,307695,44.9489,-93.1041
St. Louis,Missouri,302838,38.6357,-90.2446
Cincinnati,Ohio,302605,39.1402,-84.5058
Pittsburgh,Pennsylvania,301048,40.4398,-79.9766
Greensboro,North Carolina,294722,36.0951,-79.8270
Anchorage,Alaska,291538,61.1743,-149.2843
Plano,Texas,288061,33.0508,-96.7479
Lincoln,Nebraska,287401,40.8105,-96.6803
Orlando,Florida,285713,28.4166,-81.2736
Irvine,California,282572,33.6784,-117.7713
Newark,New Jersey,282090,40.7242,-74.1726
Toledo,Ohio,274975,41.6641,-83.5819
Durham,North Carolina,274291,35.9811,-78.9029
Chula Vista,California,271651,32.6277,-117.0152
Fort Wayne,Indiana,267633,41.0882,-85.1439
Jersey City,New Jersey,265549,40.7114,-74.0648
St. Petersburg,Florida,265098,27.7620,-82.6441
Laredo,Texas,261639,27.5604,-99.4892
Madison,Wisconsin,258054,43.0878,-89.4299
Chandler,Arizona,257165,33.2829,-111.8549
Buffalo,New York,256304,42.8925,-78.8597
Lubbock,Texas,255885,33.5656,-101.8867
Scottsdale,Arizona,255310,33.6843,-111.8611
Reno,Nevada,250998,39.5491,-119.8499
Glendale,Arizona,250702,33.5331,-112.1899
Gilbert,Arizona,248279,33.3103,-111.7431
Winston–Salem,North Carolina,246328,36.1027,-80.2610
North Las Vegas,Nevada,245949,36.2857,-115.0939
Norfolk,Virginia,244076,36.9230,-76.2446
Chesapeake,Virginia,242634,36.6794,-76.3018
Garland,Texas,242507,32.9098,-96.6303
Irving,Texas,242242,32.8577,-96.9700
Hialeah,Florida,238942,25.8699,-80.3029
Fremont,California,237807,37.4945,-121.9412
Boise,Idaho,228790,43.6002,-116.2317
Richmond,Virginia,228783,37.5314,-77.4760
Baton Rouge,Louisiana,221599,30.4422,-91.1309
Spokane,Washington,219190,47.6669,-117.4333
Des Moines,Iowa,216853,41.5726,-93.6102
Tacoma,Washington,216279,47.2522,-122.4598
San Bernardino,California,215941,34.1416,-117.2936
Modesto,California,215030,37.6375,-121.0030
Fontana,California,213739,34.1090,-117.4629
Santa Clarita,California,210089,34.4030,-118.5042
Birmingham,Alabama,209880,33.5274,-86.7990
Oxnard,California,209877,34.2023,-119.2046
Fayetteville,North Carolina,209468,35.0828,-78.9735
Moreno Valley,California,209050,33.9233,-117.2057
Rochester,New York,206284,43.1699,-77.6169
Glendale,California,201361,34.1814,-118.2458
Huntington Beach,California,200641,33.6906,-118.0093
Salt Lake City,Utah,200591,40.7769,-111.9310
Grand Rapids,Michigan,200217,42.9612,-85.6556
Amarillo,Texas,199924,35.1999,-101.8302
Yonkers,New York,199663,40.9459,-73.8674
Aurora,Illinois,199602,41.7635,-88.2901
Montgomery,Alabama,198218,32.3472,-86.2661
Akron,Ohio,198006,41.0805,-81.5214
Little Rock,Arkansas,197881,34.7254,-92.3586
Huntsville,Alabama,197318,34.6990,-86.6730
Augusta,Georgia,196939,33.3655,-82.0734
Port St. Lucie,Florida,195248,27.2806,-80.3883
Grand Prairie,Texas,194614,32.6869,-97.0211
Columbus,Georgia,194160,32.5102,-84.8749
Tallahassee,Florida,193551,30.4551,-84.2534
Overland Park,Kansas,192536,38.8890,-94.6906
Tempe,Arizona,192364,33.3884,-111.9318
McKinney,Texas,191645,33.1985,-96.6680
Mobile,Alabama,189572,30.6684,-88.1002
Cape Coral,Florida,189343,26.6432,-81.9974
Shreveport,Louisiana,188987,32.4669,-93.7922
Frisco,Texas,188170,33.1554,-96.8226
Knoxville,Tennessee,187500,35.9707,-83.9493
Worcester,Massachusetts,185877,42.2695,-71.8078
Brownsville,Texas,183392,25.9991,-97.4550
Vancouver,Washington,183012,45.6349,-122.5957
Fort Lauderdale,Florida,182595,26.1412,-80.1467
Sioux Falls,South Dakota,181883,43.5383,-96.7320
Ontario,California,181107,34.0394,-117.6042
Chattanooga,Tennessee,180557,35.0660,-85.2484
Providence,Rhode Island,179335,41.8231,-71.4188
Newport News,Virginia,178626,37.0762,-76.5220
Rancho Cucamonga,California,177751,34.1233,-117.5642
Santa Rosa,California,177586,38.4468,-122.7061
Oceanside,California,176080,33.2245,-117.3062
Salem,Oregon,173442,44.9237,-123.0232
Elk Grove,California,172886,38.4146,-121.3850
Garden Grove,California,172646,33.7788,-117.9605
Pembroke Pines,Florida,172374,26.0210,-80.3404
Peoria,Arizona,172259,33.7862,-112.3080
Eugene,Oregon,171245,44.0567,-123.1162
Corona,California,168819,33.8620,-117.5655
Cary,North Carolina,168160,35.7809,-78.8133
Springfield,Missouri,168122,37.1942,-93.2913
Fort Collins,Colorado,167830,40.5482,-105.0648
Jackson,Mississippi,164422,32.3158,-90.2128
Alexandria,Virginia,160530,38.8201,-77.0841
Hayward,California,159620,37.6287,-122.1024
Lancaster,California,159053,34.6936,-118.1753
Lakewood,Colorado,156798,39.6989,-105.1176
Clarksville,Tennessee,156794,36.5664,-87.3452
Palmdale,California,156667,34.5910,-118.1054
